Name,CO2,H2O,x,y,z
VOXQOQ_w_CO2_H2O_2,1,1,1,1,1
VOXQOQ_w_CO2_H2O_3,1,1,1,1,1
VOXQOQ_w_CO2_H2O_4,1,1,1,1,1
VOXQOQ_w_CO2_H2O_random_1,1,1,1,1,1
VOXQOQ_w_CO2_H2O_random_2,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_1,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_2,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_3,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_4,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_5,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_6,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_random_1,1,1,1,1,1
j.inoche.2015.03.054_CIFs_w_CO2_H2O_random_2,1,1,1,1,1
BEPVID_w_CO2_H2O_1,1,1,1,1,1
BEPVID_w_CO2_H2O_2,1,1,1,1,1
BEPVID_w_CO2_H2O_3,1,1,1,1,1
BEPVID_w_CO2_H2O_4,1,1,1,1,1
BEPVID_w_CO2_H2O_5,1,1,1,1,1
BEPVID_w_CO2_H2O_random_1,1,1,1,1,1
BEPVID_w_CO2_H2O_random_2,1,1,1,1,1
YUTDUO_w_CO2_H2O_1,1,1,1,1,1
YUTDUO_w_CO2_H2O_2,1,1,1,1,1
YUTDUO_w_CO2_H2O_3,1,1,1,1,1
YUTDUO_w_CO2_H2O_4,1,1,1,1,1
YUTDUO_w_CO2_H2O_5,1,1,1,1,1
YUTDUO_w_CO2_H2O_6,1,1,1,1,1
YUTDUO_w_CO2_H2O_7,1,1,1,1,1
ASIQIE_w_CO2_H2O_1,1,1,1,1,1
ASIQIE_w_CO2_H2O_2,1,1,1,1,1
ASIQIE_w_CO2_H2O_3,1,1,1,1,1
ASIQIE_w_CO2_H2O_4,1,1,1,1,1
ASIQIE_w_CO2_H2O_5,1,1,1,1,1
ASIQIE_w_CO2_H2O_6,1,1,1,1,1
ASIQIE_w_CO2_H2O_7,1,1,1,1,1
ASIQIE_w_CO2_H2O_random_1,1,1,1,1,1
ASIQIE_w_CO2_H2O_random_2,1,1,1,1,1
WOPSOL_w_CO2_H2O_1,1,1,1,1,1
WOPSOL_w_CO2_H2O_2,1,1,1,1,1
WOPSOL_w_CO2_H2O_3,1,1,1,1,1
WOPSOL_w_CO2_H2O_4,1,1,1,1,1
WOPSOL_w_CO2_H2O_5,1,1,1,1,1
HOYREU_w_CO2_H2O_1,1,1,1,1,1
HOYREU_w_CO2_H2O_2,1,1,1,1,1
HOYREU_w_CO2_H2O_3,1,1,1,1,1
HOYREU_w_CO2_H2O_4,1,1,1,1,1
HOYREU_w_CO2_H2O_5,1,1,1,1,1
HOYREU_w_CO2_H2O_random_1,1,1,1,1,1
HOYREU_w_CO2_H2O_random_2,1,1,1,1,1
WAJHOG_w_CO2_H2O_1,1,1,1,1,1
WAJHOG_w_CO2_H2O_2,1,1,1,1,1
WAJHOG_w_CO2_H2O_3,1,1,1,1,1
WAJHOG_w_CO2_H2O_4,1,1,1,1,1
WAJHOG_w_CO2_H2O_5,1,1,1,1,1
WAJHOG_w_CO2_H2O_random_1,1,1,1,1,1
WAJHOG_w_CO2_H2O_random_2,1,1,1,1,1
GUBKUL_w_CO2_H2O_1,1,1,1,1,1
GUBKUL_w_CO2_H2O_2,1,1,1,1,1
GUBKUL_w_CO2_H2O_3,1,1,1,1,1
GUBKUL_w_CO2_H2O_4,1,1,1,1,1
GUBKUL_w_CO2_H2O_5,1,1,1,1,1
GUBKUL_w_CO2_H2O_random_1,1,1,1,1,1
GUBKUL_w_CO2_H2O_random_2,1,1,1,1,1
DEBWAK_w_CO2_H2O_1,1,1,1,1,1
DEBWAK_w_CO2_H2O_2,1,1,1,1,1
DEBWAK_w_CO2_H2O_3,1,1,1,1,1
DEBWAK_w_CO2_H2O_4,1,1,1,1,1
DEBWAK_w_CO2_H2O_5,1,1,1,1,1
DEBWAK_w_CO2_H2O_random_1,1,1,1,1,1
DEBWAK_w_CO2_H2O_random_2,1,1,1,1,1
VEMMIK_w_CO2_H2O_1,1,1,1,1,1
VEMMIK_w_CO2_H2O_2,1,1,1,1,1
VEMMIK_w_CO2_H2O_3,1,1,1,1,1
VEMMIK_w_CO2_H2O_4,1,1,1,1,1
VEMMIK_w_CO2_H2O_5,1,1,1,1,1
VEMMIK_w_CO2_H2O_6,1,1,1,1,1
VEMMIK_w_CO2_H2O_7,1,1,1,1,1
VEMMIK_w_CO2_H2O_random_1,1,1,1,1,1
VEMMIK_w_CO2_H2O_random_2,1,1,1,1,1
DAKVOC_w_CO2_H2O_1,1,1,1,1,1
DAKVOC_w_CO2_H2O_2,1,1,1,1,1
DAKVOC_w_CO2_H2O_3,1,1,1,1,1
DAKVOC_w_CO2_H2O_4,1,1,1,1,1
DAKVOC_w_CO2_H2O_5,1,1,1,1,1
DAKVOC_w_CO2_H2O_6,1,1,1,1,1
DAKVOC_w_CO2_H2O_7,1,1,1,1,1
XIHSEN_w_CO2_H2O_1,1,1,1,1,1
XIHSEN_w_CO2_H2O_2,1,1,1,1,1
XIHSEN_w_CO2_H2O_3,1,1,1,1,1
XIHSEN_w_CO2_H2O_4,1,1,1,1,1
XIHSEN_w_CO2_H2O_5,1,1,1,1,1
XIHSEN_w_CO2_H2O_6,1,1,1,1,1
XIHSEN_w_CO2_H2O_random_1,1,1,1,1,1
XIHSEN_w_CO2_H2O_random_2,1,1,1,1,1
jp302979a_si_002_w_CO2_H2O_1,1,1,1,1,1
jp302979a_si_002_w_CO2_H2O_2,1,1,1,1,1
jp302979a_si_002_w_CO2_H2O_3,1,1,1,1,1
jp302979a_si_002_w_CO2_H2O_4,1,1,1,1,1
jp302979a_si_002_w_CO2_H2O_5,1,1,1,1,1
WEFZIS_w_CO2_H2O_1,1,1,1,1,1
WEFZIS_w_CO2_H2O_2,1,1,1,1,1
WEFZIS_w_CO2_H2O_3,1,1,1,1,1
WEFZIS_w_CO2_H2O_4,1,1,1,1,1
WEFZIS_w_CO2_H2O_5,1,1,1,1,1
EWETUW_w_CO2_H2O_1,1,1,1,1,1
EWETUW_w_CO2_H2O_2,1,1,1,1,1
EWETUW_w_CO2_H2O_3,1,1,1,1,1
EWETUW_w_CO2_H2O_4,1,1,1,1,1
FAVGER_w_CO2_H2O_1,1,1,1,1,1
FAVGER_w_CO2_H2O_2,1,1,1,1,1
FAVGER_w_CO2_H2O_3,1,1,1,1,1
FAVGER_w_CO2_H2O_4,1,1,1,1,1
FAVGER_w_CO2_H2O_5,1,1,1,1,1
FAVGER_w_CO2_H2O_random_1,1,1,1,1,1
FAVGER_w_CO2_H2O_random_2,1,1,1,1,1
BUVXOG_w_CO2_H2O_1,1,1,1,1,1
BUVXOG_w_CO2_H2O_2,1,1,1,1,1
BUVXOG_w_CO2_H2O_3,1,1,1,1,1
BUVXOG_w_CO2_H2O_4,1,1,1,1,1
BUVXOG_w_CO2_H2O_5,1,1,1,1,1
BUVXOG_w_CO2_H2O_random_1,1,1,1,1,1
BUVXOG_w_CO2_H2O_random_2,1,1,1,1,1
acs.inorgchem.6b00894_ic6b00894_si_002_w_CO2_H2O_1,1,1,1,1,1
acs.inorgchem.6b00894_ic6b00894_si_002_w_CO2_H2O_2,1,1,1,1,1
acs.inorgchem.6b00894_ic6b00894_si_002_w_CO2_H2O_3,1,1,1,1,1
acs.inorgchem.6b00894_ic6b00894_si_002_w_CO2_H2O_4,1,1,1,1,1
UMEXUF_w_CO2_H2O_1,1,1,1,1,1
UMEXUF_w_CO2_H2O_2,1,1,1,1,1
UMEXUF_w_CO2_H2O_3,1,1,1,1,1
UMEXUF_w_CO2_H2O_4,1,1,1,1,1
UMEXUF_w_CO2_H2O_5,1,1,1,1,1
UMEXUF_w_CO2_H2O_random_1,1,1,1,1,1
UMEXUF_w_CO2_H2O_random_2,1,1,1,1,1
WAFKIY_w_CO2_H2O_1,1,1,1,1,1
WAFKIY_w_CO2_H2O_2,1,1,1,1,1
WAFKIY_w_CO2_H2O_3,1,1,1,1,1
WAFKIY_w_CO2_H2O_4,1,1,1,1,1
WAFKIY_w_CO2_H2O_5,1,1,1,1,1
WAFKIY_w_CO2_H2O_6,1,1,1,1,1
WAFKIY_w_CO2_H2O_random_1,1,1,1,1,1
WAFKIY_w_CO2_H2O_random_2,1,1,1,1,1
VARWOC_w_CO2_H2O_1,1,1,1,1,1
VARWOC_w_CO2_H2O_2,1,1,1,1,1
VARWOC_w_CO2_H2O_3,1,1,1,1,1
VARWOC_w_CO2_H2O_4,1,1,1,1,1
VARWOC_w_CO2_H2O_random_1,1,1,1,1,1
VARWOC_w_CO2_H2O_random_2,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_1,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_2,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_3,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_4,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_5,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_6,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_random_1,1,1,1,1,1
FEHCIG_manual_w_CO2_H2O_random_2,1,1,1,1,1
XADCEM_w_CO2_H2O_1,1,1,1,1,1
XADCEM_w_CO2_H2O_2,1,1,1,1,1
XADCEM_w_CO2_H2O_3,1,1,1,1,1
XADCEM_w_CO2_H2O_4,1,1,1,1,1
XADCEM_w_CO2_H2O_5,1,1,1,1,1
XADCEM_w_CO2_H2O_random_1,1,1,1,1,1
XADCEM_w_CO2_H2O_random_2,1,1,1,1,1
COWMIL_w_CO2_H2O_1,1,1,1,1,1
COWMIL_w_CO2_H2O_2,1,1,1,1,1
COWMIL_w_CO2_H2O_3,1,1,1,1,1
COWMIL_w_CO2_H2O_4,1,1,1,1,1
COWMIL_w_CO2_H2O_5,1,1,1,1,1
COWMIL_w_CO2_H2O_random_1,1,1,1,1,1
COWMIL_w_CO2_H2O_random_2,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_1,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_2,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_3,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_4,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_5,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_random_1,1,1,1,1,1
WEHRIL_charged_w_CO2_H2O_random_2,1,1,1,1,1
ENITEB_w_CO2_H2O_1,1,1,1,1,1
ENITEB_w_CO2_H2O_2,1,1,1,1,1
ENITEB_w_CO2_H2O_3,1,1,1,1,1
ENITEB_w_CO2_H2O_4,1,1,1,1,1
ENITEB_w_CO2_H2O_5,1,1,1,1,1
ENITEB_w_CO2_H2O_random_1,1,1,1,1,1
ENITEB_w_CO2_H2O_random_2,1,1,1,1,1
MOSBIG_w_CO2_H2O_1,1,1,1,1,1
MOSBIG_w_CO2_H2O_2,1,1,1,1,1
MOSBIG_w_CO2_H2O_3,1,1,1,1,1
MOSBIG_w_CO2_H2O_4,1,1,1,1,1
MOSBIG_w_CO2_H2O_5,1,1,1,1,1
MOSBIG_w_CO2_H2O_6,1,1,1,1,1
MOSBIG_w_CO2_H2O_7,1,1,1,1,1
MOSBIG_w_CO2_H2O_random_1,1,1,1,1,1
MOSBIG_w_CO2_H2O_random_2,1,1,1,1,1
IZEWAN_w_CO2_H2O_1,1,1,1,1,1
IZEWAN_w_CO2_H2O_2,1,1,1,1,1
IZEWAN_w_CO2_H2O_3,1,1,1,1,1
IZEWAN_w_CO2_H2O_4,1,1,1,1,1
IZEWAN_w_CO2_H2O_5,1,1,1,1,1
IZEWAN_w_CO2_H2O_6,1,1,1,1,1
IZEWAN_w_CO2_H2O_7,1,1,1,1,1
IZEWAN_w_CO2_H2O_random_1,1,1,1,1,1
IZEWAN_w_CO2_H2O_random_2,1,1,1,1,1
NALWOO_w_CO2_H2O_1,1,1,1,1,1
NALWOO_w_CO2_H2O_2,1,1,1,1,1
NALWOO_w_CO2_H2O_3,1,1,1,1,1
NALWOO_w_CO2_H2O_4,1,1,1,1,1
NALWOO_w_CO2_H2O_5,1,1,1,1,1
NALWOO_w_CO2_H2O_6,1,1,1,1,1
NALWOO_w_CO2_H2O_7,1,1,1,1,1
NALWOO_w_CO2_H2O_random_1,1,1,1,1,1
NALWOO_w_CO2_H2O_random_2,1,1,1,1,1
OZAVOC_w_CO2_H2O_1,1,1,1,1,1
OZAVOC_w_CO2_H2O_2,1,1,1,1,1
OZAVOC_w_CO2_H2O_3,1,1,1,1,1
OZAVOC_w_CO2_H2O_4,1,1,1,1,1
OZAVOC_w_CO2_H2O_5,1,1,1,1,1
OZAVOC_w_CO2_H2O_6,1,1,1,1,1
OZAVOC_w_CO2_H2O_random_1,1,1,1,1,1
OZAVOC_w_CO2_H2O_random_2,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_1,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_2,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_3,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_4,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_5,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_6,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_7,1,1,1,1,1
NESVAK_charged_w_CO2_H2O_8,1,1,1,1,1
LEDHEJ_w_CO2_H2O_1,1,1,1,1,1
LEDHEJ_w_CO2_H2O_2,1,1,1,1,1
LEDHEJ_w_CO2_H2O_3,1,1,1,1,1
LEDHEJ_w_CO2_H2O_4,1,1,1,1,1
LEDHEJ_w_CO2_H2O_5,1,1,1,1,1
LEDHEJ_w_CO2_H2O_random_1,1,1,1,1,1
LEDHEJ_w_CO2_H2O_random_2,1,1,1,1,1
UNAGUN_w_CO2_H2O_1,1,1,1,1,1
UNAGUN_w_CO2_H2O_2,1,1,1,1,1
UNAGUN_w_CO2_H2O_3,1,1,1,1,1
UNAGUN_w_CO2_H2O_4,1,1,1,1,1
UNAGUN_w_CO2_H2O_5,1,1,1,1,1
UNAGUN_w_CO2_H2O_random_1,1,1,1,1,1
UNAGUN_w_CO2_H2O_random_2,1,1,1,1,1
RAZGOQ_w_CO2_H2O_1,1,1,2,1,1
RAZGOQ_w_CO2_H2O_2,1,1,1,1,1
RAZGOQ_w_CO2_H2O_3,1,1,1,1,1
RAZGOQ_w_CO2_H2O_4,1,1,1,1,1
RAZGOQ_w_CO2_H2O_random_1,1,1,2,1,1
RAZGOQ_w_CO2_H2O_random_2,1,1,2,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_1,1,1,1,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_2,1,1,1,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_3,1,1,1,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_4,1,1,1,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_5,1,1,1,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_random_1,1,1,1,1,1
ic2017598_si_001_clean_h_w_CO2_H2O_random_2,1,1,1,1,1
MIDSUP01_w_CO2_H2O_1,1,1,1,1,1
MIDSUP01_w_CO2_H2O_2,1,1,1,1,1
MIDSUP01_w_CO2_H2O_3,1,1,1,1,1
MIDSUP01_w_CO2_H2O_4,1,1,1,1,1
MIDSUP01_w_CO2_H2O_5,1,1,1,1,1
MIDSUP01_w_CO2_H2O_random_1,1,1,1,1,1
MIDSUP01_w_CO2_H2O_random_2,1,1,1,1,1
JUCXEK_w_CO2_H2O_1,1,1,1,1,1
JUCXEK_w_CO2_H2O_2,1,1,1,1,1
JUCXEK_w_CO2_H2O_3,1,1,1,1,1
NOGDAP_w_CO2_H2O_1,1,1,1,1,1
NOGDAP_w_CO2_H2O_2,1,1,1,1,1
NOGDAP_w_CO2_H2O_3,1,1,1,1,1
NOGDAP_w_CO2_H2O_4,1,1,1,1,1
NOGDAP_w_CO2_H2O_5,1,1,1,1,1
NOGDAP_w_CO2_H2O_random_1,1,1,1,1,1
NOGDAP_w_CO2_H2O_random_2,1,1,1,1,1
NEYYUN_w_CO2_H2O_1,1,1,1,1,1
NEYYUN_w_CO2_H2O_2,1,1,1,1,1
NEYYUN_w_CO2_H2O_3,1,1,1,1,1
OKIYAJ_charged_w_CO2_H2O_1,1,1,1,1,1
OKIYAJ_charged_w_CO2_H2O_2,1,1,1,1,1
OKIYAJ_charged_w_CO2_H2O_3,1,1,1,1,1
OKIYAJ_charged_w_CO2_H2O_4,1,1,1,1,1
OKIYAJ_charged_w_CO2_H2O_random_1,1,1,1,1,1
OKIYAJ_charged_w_CO2_H2O_random_2,1,1,1,1,1
NAGBUU_w_CO2_H2O_1,1,1,1,1,1
NAGBUU_w_CO2_H2O_2,1,1,1,1,1
NAGBUU_w_CO2_H2O_3,1,1,1,1,1
NAGBUU_w_CO2_H2O_4,1,1,1,1,1
NAGBUU_w_CO2_H2O_random_1,1,1,1,1,1
NAGBUU_w_CO2_H2O_random_2,1,1,1,1,1
PEQTIQ_w_CO2_H2O_1,1,1,1,1,1
PEQTIQ_w_CO2_H2O_2,1,1,1,1,1
PEQTIQ_w_CO2_H2O_3,1,1,1,1,1
PEQTIQ_w_CO2_H2O_4,1,1,1,1,1
SIDCAL_w_CO2_H2O_1,1,1,1,1,1
SIDCAL_w_CO2_H2O_2,1,1,1,1,1
SIDCAL_w_CO2_H2O_3,1,1,1,1,1
SIDCAL_w_CO2_H2O_4,1,1,1,1,1
SIDCAL_w_CO2_H2O_5,1,1,1,1,1
SIDCAL_w_CO2_H2O_6,1,1,1,1,1
SIDCAL_w_CO2_H2O_random_1,1,1,1,1,1
SIDCAL_w_CO2_H2O_random_2,1,1,1,1,1
NUFBEX_w_CO2_H2O_1,1,1,1,1,1
NUFBEX_w_CO2_H2O_2,1,1,1,1,1
NUFBEX_w_CO2_H2O_3,1,1,1,1,1
NUFBEX_w_CO2_H2O_4,1,1,1,1,1
NUFBEX_w_CO2_H2O_5,1,1,1,1,1
NUFBEX_w_CO2_H2O_6,1,1,1,1,1
NUFBEX_w_CO2_H2O_7,1,1,1,1,1
NUFBEX_w_CO2_H2O_8,1,1,1,1,1
NUFBEX_w_CO2_H2O_random_1,1,1,1,1,1
NUFBEX_w_CO2_H2O_random_2,1,1,1,1,1
SENWIT_w_CO2_H2O_1,1,1,1,1,1
SENWIT_w_CO2_H2O_2,1,1,1,1,1
SENWIT_w_CO2_H2O_3,1,1,1,1,1
SENWIT_w_CO2_H2O_4,1,1,1,1,1
SENWIT_w_CO2_H2O_5,1,1,1,1,1
SENWIT_w_CO2_H2O_random_1,1,1,1,1,1
SENWIT_w_CO2_H2O_random_2,1,1,1,1,1
TEVZIE_w_CO2_H2O_1,1,1,1,1,1
TEVZIE_w_CO2_H2O_2,1,1,1,1,1
TEVZIE_w_CO2_H2O_3,1,1,1,1,1
TEVZIE_w_CO2_H2O_random_1,1,1,1,1,1
TEVZIE_w_CO2_H2O_random_2,1,1,1,1,1
VAGMAT_w_CO2_H2O_1,1,1,1,1,1
VAGMAT_w_CO2_H2O_2,1,1,1,1,1
VAGMAT_w_CO2_H2O_3,1,1,1,1,1
VAGMAT_w_CO2_H2O_4,1,1,1,1,1
VAGMAT_w_CO2_H2O_5,1,1,1,1,1
VAGMAT_w_CO2_H2O_random_1,1,1,1,1,1
VAGMAT_w_CO2_H2O_random_2,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_1,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_2,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_3,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_4,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_5,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_random_1,1,1,1,1,1
ja506357n_si_002_w_CO2_H2O_random_2,1,1,1,1,1
JUKKIL_w_CO2_H2O_1,1,1,1,1,1
JUKKIL_w_CO2_H2O_2,1,1,1,1,1
JUKKIL_w_CO2_H2O_3,1,1,1,1,1
JUKKIL_w_CO2_H2O_4,1,1,1,1,1
JUKKIL_w_CO2_H2O_5,1,1,1,1,1
JUKKIL_w_CO2_H2O_random_1,1,1,1,1,1
JUKKIL_w_CO2_H2O_random_2,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_1,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_2,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_3,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_4,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_5,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_6,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_random_1,1,1,1,1,1
ZOXFEZ_w_CO2_H2O_random_2,1,1,1,1,1
VURNED03_w_CO2_H2O_1,1,1,1,1,1
VURNED03_w_CO2_H2O_2,1,1,1,1,1
VURNED03_w_CO2_H2O_3,1,1,1,1,1
VURNED03_w_CO2_H2O_4,1,1,1,1,1
VURNED03_w_CO2_H2O_5,1,1,1,1,1
VURNED03_w_CO2_H2O_random_1,1,1,1,1,1
VURNED03_w_CO2_H2O_random_2,1,1,1,1,1
JOGSAA_w_CO2_H2O_1,1,1,1,1,1
JOGSAA_w_CO2_H2O_2,1,1,1,1,1
JOGSAA_w_CO2_H2O_3,1,1,1,1,1
JOGSAA_w_CO2_H2O_4,1,1,1,1,1
JOGSAA_w_CO2_H2O_5,1,1,1,1,1
JOGSAA_w_CO2_H2O_random_1,1,1,1,1,1
JOGSAA_w_CO2_H2O_random_2,1,1,1,1,1
YOYQIO_w_CO2_H2O_1,1,1,1,1,1
YOYQIO_w_CO2_H2O_2,1,1,1,1,1
YOYQIO_w_CO2_H2O_3,1,1,1,1,1
YOYQIO_w_CO2_H2O_4,1,1,1,1,1
YOYQIO_w_CO2_H2O_5,1,1,1,1,1
YOYQIO_w_CO2_H2O_6,1,1,1,1,1
EREGOY_w_CO2_H2O_1,1,1,1,1,1
EREGOY_w_CO2_H2O_2,1,1,1,1,1
EREGOY_w_CO2_H2O_3,1,1,1,1,1
EREGOY_w_CO2_H2O_4,1,1,1,1,1
EREGOY_w_CO2_H2O_5,1,1,1,1,1
EREGOY_w_CO2_H2O_random_1,1,1,1,1,1
EREGOY_w_CO2_H2O_random_2,1,1,1,1,1
HIWMAD_w_CO2_H2O_1,1,1,1,1,1
HIWMAD_w_CO2_H2O_2,1,1,1,1,1
HIWMAD_w_CO2_H2O_3,1,1,1,1,1
HIWMAD_w_CO2_H2O_4,1,1,1,1,1
HIWMAD_w_CO2_H2O_5,1,1,1,1,1
HIWMAD_w_CO2_H2O_random_1,1,1,1,1,1
HIWMAD_w_CO2_H2O_random_2,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_1,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_2,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_3,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_4,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_5,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_6,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_random_1,1,1,1,1,1
acscombsci.5b00188_5013797_w_CO2_H2O_random_2,1,1,1,1,1
XALXUF_w_CO2_H2O_1,1,1,1,1,1
XALXUF_w_CO2_H2O_2,1,1,1,1,1
XALXUF_w_CO2_H2O_3,1,1,1,1,1
XALXUF_w_CO2_H2O_4,1,1,1,1,1
XALXUF_w_CO2_H2O_5,1,1,1,1,1
XALXUF_w_CO2_H2O_6,1,1,1,1,1
ZARZAV_w_CO2_H2O_1,1,1,1,1,1
ZARZAV_w_CO2_H2O_2,1,1,1,1,1
ZARZAV_w_CO2_H2O_3,1,1,1,1,1
ZARZAV_w_CO2_H2O_4,1,1,1,1,1
ZARZAV_w_CO2_H2O_random_1,1,1,1,1,1
ZARZAV_w_CO2_H2O_random_2,1,1,1,1,1
GIDKOU_w_CO2_H2O_1,1,1,1,1,1
GIDKOU_w_CO2_H2O_2,1,1,1,1,1
GIDKOU_w_CO2_H2O_3,1,1,1,1,1
GIDKOU_w_CO2_H2O_4,1,1,1,1,1
TONLOY_w_CO2_H2O_1,1,1,1,1,1
TONLOY_w_CO2_H2O_2,1,1,1,1,1
TONLOY_w_CO2_H2O_3,1,1,1,1,1
TONLOY_w_CO2_H2O_4,1,1,1,1,1
TONLOY_w_CO2_H2O_5,1,1,1,1,1
TONLOY_w_CO2_H2O_6,1,1,1,1,1
